course_code,course_title,course_teacher,link,fas_code,unique_code
ANTHRO 2738,Remaking Life and Death 001,Bernstein,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a33b08cb5a6cfabd9c4bab58dda353faa6db2ef85721a21b5740d8466132c9ed4b4ac81853dc7eb36a266eeedad1e053&ReportType=2&regl=en-US,FAS-211109-2232-1-1-001,FAS-211109-2232-1-1-001(Bernstein)
ANTHRO 3705,Semiotic Anthropology 1,Harkness,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=fb5ef59c0f12ffd67fd6bef0a51339a86b17625cf834719eb90a0fc880257350832b083c34e2891db47dc07d3409004f&ReportType=2&regl=en-US,FAS-221674-2232-1-1-1,FAS-221674-2232-1-1-1(Harkness)
APCOMP 209B,Data Science 2: Advanced Topics in Data Science 001,Glickman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ed35d1d009bf41964914c3377355fe32b0330c4d786b690d7636f8eef929b6e53ddcf103ca68bacbc23dc034b4cb43c1&ReportType=2&regl=en-US,FAS-203547-2232-1-1-001,FAS-203547-2232-1-1-001(Glickman)
APCOMP 209B,Data Science 2: Advanced Topics in Data Science 001,Protopapas,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=df75e484fcaebec193b247fd53592a517bc3a4ebd329abe11485efb8f29da08c7a6ad333fe87ada4b1374dd86fb4ec9d&ReportType=2&regl=en-US,FAS-203547-2232-1-1-001,FAS-203547-2232-1-1-001(Protopapas)
APCOMP 221,Critical Thinking in Data Science 001,Smith,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=057fbd1a32971a539d984208be190a55d5446a7972ae6a168b9095b12f68230b3928bb20244b0c18ae142ea12bc0d497&ReportType=2&regl=en-US,FAS-207093-2232-1-1-001,FAS-207093-2232-1-1-001(Smith)
APCOMP 298R,Interdisciplinary Seminar in Applied Computation 001,Weinstock,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5c173d262f166cfaab3857f1d26b7e11e83a0d56b2e78921483a67698d0426083ed7163e049a03c8d2c1ad2eb4eb6cc7&ReportType=2&regl=en-US,FAS-109339-2232-1-1-001,FAS-109339-2232-1-1-001(Weinstock)
APMTH 22B,Integrating and Approximating 001,Obeid,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2bed051c420d1bb296675e762c39248d5ecd5ad99d63dde6ae6b1b1e6bdf2419a708dd10fcc015d14eba3a21cc4ac2f0&ReportType=2&regl=en-US,FAS-212922-2232-1-1-001,FAS-212922-2232-1-1-001(Obeid)
APMTH 50,Introduction to Applied Mathematics 001,Pehlevan,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ea5d95cb26863b6146ceae3f8c866749329fdd2c6dc3a81dac6fff70f7ad52ae0d9e0b8fd25a30d3264f6d2d3dad2f56&ReportType=2&regl=en-US,FAS-122564-2232-1-1-001,FAS-122564-2232-1-1-001(Pehlevan)
APMTH 101,Statistical Inference for Scientists and Engineers 001,Paten,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9c2212b0582ba3c212564858aaab91c6ab3d89a2d9731db1d5ae13090ba35c311df53505e434daa2bedac17ad83271b0&ReportType=2&regl=en-US,FAS-132127-2232-1-1-001,FAS-132127-2232-1-1-001(Paten)
APMTH 105,Ordinary and Partial Differential Equations 001,Haussman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3481c58114bd391b9bcde64675fc025ac2cdde979d923df275540b724eb7b5590af836c0cc0803c8423521ebec423c5d&ReportType=2&regl=en-US,FAS-143432-2232-1-1-001,FAS-143432-2232-1-1-001(Haussman)
